image_size,model_type,model_depth,model_size,zero_one_loss,n_epochs
10,dense,1,32,0.07482119933981295,25
10,dense,1,64,0.03447643498991381,20
10,dense,1,96,0.030533651201173666,23
10,dense,1,128,0.045112781954887216,13
10,dense,1,160,0.08160645516229599,12
10,dense,2,32,0.043462314322391345,20
10,dense,2,64,0.06959471850357601,8
10,dense,2,96,0.09233449477351917,9
10,dense,2,128,0.05849990830735375,10
10,dense,2,160,0.03695213643865762,10
10,dense,3,32,0.08444892719603887,11
10,dense,3,64,0.04850540986612874,17
10,dense,3,96,0.026499174766183752,11
10,dense,3,128,0.02154777186869613,12
10,dense,3,160,0.06546854942233633,9
10,conv,1,8,0.09508527416101228,16
10,conv,1,16,0.03961122317990097,20
10,conv,1,24,0.13964790023840087,9
10,conv,1,32,0.020997615991197507,16
10,conv,1,40,0.020905923344947737,14
10,conv,2,8,0.06409315972858977,23
10,conv,2,16,0.07335411699981662,8
10,conv,2,24,0.03154227030992114,7
10,conv,2,32,0.017421602787456445,9
10,conv,2,40,0.016229598386209427,11
10,conv,3,8,0.10957271226847606,21
10,conv,3,16,0.061525765633596186,9
10,conv,3,24,0.09600220062350999,6
10,conv,3,32,0.015862827801210344,13
10,conv,3,40,0.011553273427471117,11
20,dense,1,32,0.20328259673574178,17
20,dense,1,64,0.07142857142857142,11
20,dense,1,96,0.031175499724922062,16
20,dense,1,128,0.03841921877865395,12
20,dense,1,160,0.0373189070236567,15
20,dense,2,32,0.07903906106730241,9
20,dense,2,64,0.0805978360535485,7
20,dense,2,96,0.06308454061984228,12
20,dense,2,128,0.04630478635613424,10
20,dense,2,160,0.029525032092426188,11
20,dense,3,32,0.06381808178984046,16
20,dense,3,64,0.03942783788740143,10
20,dense,3,96,0.07784705666605539,10
20,dense,3,128,0.04309554373739226,8
20,dense,3,160,0.04602970841738493,7
20,conv,1,8,0.13313772235466714,24
20,conv,1,16,0.09490188886851275,17
20,conv,1,24,0.04538785989363653,8
20,conv,1,32,0.0298001100311755,14
20,conv,1,40,0.024115165963689712,11
20,conv,2,8,0.06986979644232533,15
20,conv,2,16,0.02869979827617825,15
20,conv,2,24,0.021822849807445442,15
20,conv,2,32,0.014028974876214928,10
20,conv,2,40,0.01898037777370255,11
20,conv,3,8,0.11058133137722355,12
20,conv,3,16,0.021089308637447277,12
20,conv,3,24,0.007518796992481203,9
20,conv,3,32,0.03860260407115349,5
20,conv,3,40,0.017329910141206675,8
30,dense,1,32,0.2000733541169998,15
30,dense,1,64,0.10783055198973042,19
30,dense,1,96,0.07381258023106547,14
30,dense,1,128,0.08142306986979644,14
30,dense,1,160,0.06161745827984596,10
30,dense,2,32,0.1386392811296534,12
30,dense,2,64,0.10590500641848524,8
30,dense,2,96,0.053181734824867044,8
30,dense,2,128,0.05620759215110948,12
30,dense,2,160,0.08261507427104346,4
30,dense,3,32,0.06721070970108198,14
30,dense,3,64,0.10388776820099029,6
30,dense,3,96,0.07280396112231799,7
30,dense,3,128,0.05189803777737025,9
30,dense,3,160,0.08857509627727857,4
30,conv,1,8,0.2867229048230332,21
30,conv,1,16,0.041169998166147075,9
30,conv,1,24,0.07812213460480469,4
30,conv,1,32,0.02989180267742527,10
30,conv,1,40,0.058866678892352836,4
30,conv,2,8,0.13662204291215843,10
30,conv,2,16,0.042820465798642945,9
30,conv,2,24,0.02273977626994315,7
30,conv,2,32,0.02512378507243719,14
30,conv,2,40,0.019713918943700715,7
30,conv,3,8,0.2035576746744911,15
30,conv,3,16,0.040344764349899136,8
30,conv,3,24,0.025949018888685126,7
30,conv,3,32,0.02292316156244269,9
30,conv,3,40,0.009352649917476618,12
40,dense,1,32,0.13946451494590134,11
40,dense,1,64,0.13240418118466898,8
40,dense,1,96,0.1417568311021456,14
40,dense,1,128,0.14661654135338345,14
40,dense,1,160,0.15725288831835688,9
40,dense,2,32,0.23675041261690813,12
40,dense,2,64,0.14139006051714653,10
40,dense,2,96,0.08334861544104163,6
40,dense,2,128,0.14157344580964606,4
