image_size,model_type,model_depth,model_size,zero_one_loss,n_epochs
40,dense,2,160,0.04309554373739226,9
40,dense,3,32,0.2430772052081423,13
40,dense,3,64,0.10471300201723822,7
40,dense,3,96,0.09426004034476435,6
40,dense,3,128,0.10205391527599486,6
40,dense,3,160,0.030533651201173666,8
40,conv,1,8,0.07656335961855859,8
40,conv,1,16,0.11269026224096827,13
40,conv,1,24,0.06601870529983496,5
40,conv,1,32,0.06730240234733174,12
40,conv,1,40,0.04373739226114066,14
40,conv,2,8,0.15945351182835138,15
40,conv,2,16,0.0335595085274161,9
40,conv,2,24,0.028974876214927562,9
40,conv,2,32,0.027141023289932148,7
40,conv,2,40,0.019713918943700715,7
40,conv,3,8,0.0982028241335045,11
40,conv,3,16,0.04465431872363836,9
40,conv,3,24,0.014762516046213094,14
40,conv,3,32,0.016321291032459197,21
40,conv,3,40,0.01063634696497341,18
50,dense,1,32,0.25435540069686413,7
50,dense,1,64,0.1417568311021456,11
50,dense,1,96,0.14194021639464516,11
50,dense,1,128,0.1465248487071337,8
50,dense,1,160,0.07537135521731157,13
50,dense,2,32,0.1948468732807629,8
50,dense,2,64,0.1169998166147075,6
50,dense,2,96,0.03695213643865762,9
50,dense,2,128,0.0454795525398863,8
50,dense,2,160,0.1367137355584082,3
50,dense,3,32,0.08463231248853842,7
50,dense,3,64,0.06968641114982578,12
50,dense,3,96,0.08848340363102879,9
50,dense,3,128,0.05098111131487255,5
50,dense,3,160,0.034751512928663124,7
50,conv,1,8,0.8043278929029892,8
50,conv,1,16,0.09361819182101595,14
50,conv,1,24,0.08289015220979278,5
50,conv,1,32,0.03686044379240785,10
50,conv,1,40,0.036401980561158995,19
50,conv,2,8,0.0708784155510728,15
50,conv,2,16,0.05345681276361636,12
50,conv,2,24,0.027232715936181918,7
50,conv,2,32,0.023198239501192004,15
50,conv,2,40,0.037869062901155326,5
50,conv,3,8,0.07757197872730608,10
50,conv,3,16,0.030258573262424353,13
50,conv,3,24,0.028883183568677792,16
50,conv,3,32,0.012103429304969741,32
50,conv,3,40,0.01549605721621126,15
